index,22648284,23139763,23724872,23660084,23707032,23721619,23456064,23741761
date,2025-03-19 11:51:24.323726,2025-03-19 11:51:24.605273,2025-03-19 11:51:24.981775,2025-03-19 11:51:25.365970,2025-03-19 11:51:25.778915,2025-03-19 11:51:26.433340,2025-03-19 11:51:26.834408,2025-03-19 11:51:28.244938
type,other,apartment,apartment,apartment,apartment,apartment,apartment,apartment
price,620000,1445000,335000,199000,780000,630000,599000,630000
zip_code,75019,75016,75018,75018,75012,75016,75018,75014
room,4,4,2,2,4,2,4,3
bed,3,2,1,1,2,1,3,2
area,110,106,31,28,91,55,81,71
floor,0,1,1,5,1,0,3,2
max_floor,12,6,5,5,9,5,4,17
dpe,C,E,E,,D,E,E,E
